Proudct_Name,Duration (in days),
Maggi,270,
Oreo,180,
wafers,120,
Dairy Milk,360,
Pepsi,90,
Nescafe,360,
Lipton,360,
redbull,720,
milkmaid ,270,
milk powder,450,
fanta,75,
5star,360,
bournville,270,
Bournvitta,360,
Chocolairs,240,
coca,360,
Gems,360,
shots,360,
maaza,180,
sprite,75,
limca,75,
alpenliebe ,360,
lolipop,360,
applejuice,270,
fruitcrush,270,
doublemint,270,
chewinggum,270,
orbitlemonmint,270,
toothbrush,720,
toothpaste,720,
colgate,720,
mouthwash,720,
disinfectant,720,
handwash,720,
antiseptic,1080,
Dettol ,720,
soap,720,
biscuit,150,
goodday,180,
AvocadoOil,270,
OliveOil  ,720,
PeanutOil,720,
SesameOil,360,
SunflowerOil ,720,
VegetableOil ,360,
oil,720,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Asparagus,10,
Arugula,7,
Beetroot,20,
Beans,7,
BananaSquash,10,
lettuce,5,
bamboo,10,
Broccoli,15,
Cabbage,10,
Chives,5,
Cassava,10,
cactus,10,
gooseberry,7,
spinach,5,
carrot,20,
cauliflower,15,
cucumber,10,
corn,30,
celery,7,
drumsticks,15,
dabberlocks,10,
eggplant,10,
earthnut,30,
beans,30,
fennel,7,
fathen,7,
pumpkin,50,
bellpepper,15,
ginger,20,
gourd,15,
groundnuts,20,
horseradish,25,
chilli,15,
jalapeno,15,
jicama,7,
kale,7,
kidneybeans,5,
lettuce,7,
lotusroot,15,
lime,15,
mashroom,7,
mitsuba,6,
nettles,6,
nopales,7,
olives,7,
blackolives,7,
onions,45,
mushrooms,10,
pumpkins,45,
parsley,7,
potato,50,
parsnips,7,
quince,5,
radish,10,
rosemary,5,
cabbage,10,
shallots,7,
peas,7,
sorrel,10,
soybeans,30,
spinach,5,
tomato,10,
turnips,10,
wasabi,7,
watercress,7,
ladyfinger,10,
xigua,7,
yam,7,
yarrow,7,
onion,45,
garlic,30,
cabbage,20,
pepper,10,
artichoke,7,
beet,10,
chilli,7,
chilli,7,
potato,30,
springonion,5,
avocado,10,
zucchini,7,
beet ,60,
spaghetti ,35,
potato,45,
beans,5,
beans,6,
potato,50,
tomato,7,
tomato,8,
cabbage,12,
cauliflower,10,
Paracetamol ,730,
Gabpin100,700,
Zyncet,701,
Calcium,701,
Dulcoflex,1065,
Zincofer,701,
Combiflam,1065,
Wikoryl,1065,
PantorelD,701,
AZEE500,1065,
Cyclopam,1065,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Passport,3650,5 - 10 year
License,7300,20 years
RationCard,1825,5 yrs
CasteCertificate,1095,3 yrs - state
CasteCertificate,365,1 yr - central
IncomeCertificate,1460,4 yr
ArmsLicence,1095,3
Visa,365,1-10
Visa,730,
Visa,1095,
Visa,1460,
Visa,1825,
Visa,2190,
Visa,2555,
Visa,2920,
Visa,3285,
Visa,3650,
Allahabad Bank Debit Card->0,1825,5
Andhra Bank Debit Card->0,1825,5
Axis Bank Debit Card,,
Bank of Bahrain and Kuwait Debit Card,,
Bank of Baroda Debit Card,,
Bank of India Debit Card,,
Bank of Maharashtra Debit Card,,
Canara Bank Debit Card,,
Central Bank of India Debit Card,,
City Union Bank Debit Card,,
Corporation Bank Debit Card,,
Deutsche Bank Debit Card,,
Development Credit Bank Debit Card,,
Dhanlaxmi Bank Debit Card,,
Federal Bank Debit Card,,
ICICI Bank Debit Card,,
IDBI Bank Debit Card,,
Indian Bank Debit Card,,
Indian Overseas Bank Debit Card,,
IndusInd Bank Debit Card,,
ING Vysya Bank Debit Card,,
Jammu and Kashmir Bank Debit Card,,
Karnataka Bank Ltd Debit Card,,
Karur Vysya Bank Debit Card,,
Kotak Bank Debit Card,,
Laxmi Vilas Bank Debit Card,,
Oriental Bank of Commerce Debit Card,,
Punjab National Bank Debit Card,,
Punjab & Sind Bank Debit Card,,
Shamrao Vitthal Co-operative Bank Debit Card,,
South Indian Bank Debit Card,,
State Bank of Bikaner & Jaipur Debit Card,,
State Bank of Hyderabad Debit Card,,
State Bank of India Debit Card,,
State Bank of Mysore Debit Card,,
State Bank of Patiala Debit Card,,
State Bank of Travancore Debit Card,,
Syndicate Bank Debit Card,,
Tamilnad Mercantile Bank Ltd. Debit Card,,
UCO Bank Debit Card,,
Union Bank of India Debit Card,,
Vijaya Bank Debit Card,,
Yes Bank Ltd Debit Card,,
Property Documents ,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Wheat Flour,120,
Bread,5,
Regular flour,180,
Rice,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Apple,4,
Avacado,3,
banana,7,
Banana,3,
Berries,3,
Oranges,5,
Grapes,5,
Kiwi,3,
Watermelon,7,
Peach,3,
Pineapple,2,
Strawberries,3,
Artichokes,2,
Apricot,5,
Blueberry,5,
Cherries,2,
Watercress,2,
Lime,4,
grape,5,
Lemon,4,
Pear,6,
Plum,5,
Carrot,7,
Coconut,10,
DryCoconut,180,
Papaya,5,
Mango,5,
Nectarine,4,
Cranberry,15,
Guava,4,
Pomegranate,40,
pumpkin,70,
Raisins,300,
Dates,100,
